senador,desde,hasta,bloque,familia
"ODARDA, MARÍA MAGDALENA",2013-12-18,2019-11-13,RIO - FRENTE PROGRESISTA,Radical / Cambiemos / JxC
"OJEDA, JOSÉ ANATOLIO",2016-03-30,2019-11-13,JUSTICIALISTA,Peronist / Justicialist
"OLALLA, STELLA MARIS",2019-12-20,2024-12-12,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"OLIVERA LUCERO, BRUNO ANTONIO",2024-02-23,2024-12-12,LA LIBERTAD AVANZA,La Libertad Avanza
"OSUNA, BLANCA INES",2007-12-12,2011-11-02,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"PAGOTTO, JUAN CARLOS",2024-02-23,2024-12-12,LA LIBERTAD AVANZA,La Libertad Avanza
"PAIS, JUAN MARIO",2019-12-10,2021-12-09,FRENTE DE TODOS,Peronist / Justicialist
"PAMPURO, JOSÉ JUAN BAUTISTA",2005-12-21,2011-11-02,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"PAOLTRONI, FRANCISCO MANUEL",2024-02-23,2024-12-12,LA LIBERTAD AVANZA,La Libertad Avanza
"PARRILLI, NANCI MARIA AGUSTINA",2007-12-12,2013-12-04,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"PARRILLI, OSCAR ISIDRO",2019-12-20,2022-05-12,FRENTE DE TODOS,Peronist / Justicialist
"PARRILLI, OSCAR ISIDRO",2022-05-12,2024-12-12,UNIDAD CIUDADANA,Peronist / Justicialist
"PERCEVAL, MARÍA CRISTINA",2005-12-10,2009-12-02,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"PEREYRA, GUILLERMO JUAN",2013-12-18,2019-11-13,MOVIMIENTO POPULAR NEUQUINO,Provincial & other alliances
"PEREZ ALSINA, JUAN AGUSTIN",2007-12-12,2013-12-04,PARTIDO RENOVADOR DE SALTA,Provincial & other alliances
"PEROTTI, OMAR ÁNGEL",2016-03-30,2019-11-13,JUSTICIALISTA,Peronist / Justicialist
"PETCOFF NAIDENOFF, LUIS CARLOS",2005-12-21,2023-09-28,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"PICHETTO, MIGUEL ÁNGEL",2005-12-10,2013-12-04,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"PICHETTO, MIGUEL ÁNGEL",2013-12-18,2019-06-01,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"PICHETTO, MIGUEL ÁNGEL",2019-06-01,2019-11-13,PERONISMO REPUBLICANO RIO NEGRO,Peronist / Justicialist
"PILATTI VERGARA, MARÍA INÉS",2013-12-18,2019-11-13,FRENTE PARA LA VICTORIA - PJ,Peronist / Justicialist
"PILATTI VERGARA, MARÍA INÉS",2019-12-20,2022-11-16,FRENTE DE TODOS,Peronist / Justicialist
"PILATTI VERGARA, MARÍA INÉS",2022-11-16,2024-12-12,FRENTE NACIONAL Y POPULAR,Peronist / Justicialist
"PINCHETTI DE SIERRA MORALES, DELIA NORMA",2005-02-03,2009-12-02,TUCUMAN,Provincial & other alliances
"PINEDO, FEDERICO",2016-03-30,2019-11-13,FRENTE PRO,Radical / Cambiemos / JxC
"POGGI, CLAUDIO JAVIER",2017-12-27,2021-10-28,AVANZAR SAN LUIS,Provincial & other alliances
"PORCEL DE RICCOBELLI, BLANCA",2017-12-27,2019-11-13,FRENTE CÍVICO POR SANTIAGO,Provincial & other alliances
"PRADES, CARLOS ALFONSO",2005-02-03,2005-11-30,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"PÉRSICO, DANIEL RAÚL",2011-12-21,2017-11-29,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"QUINTELA, TERESITA NICOLASA",2005-12-21,2011-11-02,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"RACHED, EMILIO ALBERTO",2007-12-12,2013-12-04,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"REJAL, JESÚS FERNANDO",2024-02-23,2024-12-12,JUSTICIA SOCIAL FEDERAL,Provincial & other alliances
"REUTEMANN, CARLOS ALBERTO",2005-02-03,2021-06-24,SANTA FE FEDERAL,Provincial & other alliances
"RIOFRÍO, MARINA RAQUEL",2005-12-21,2017-11-29,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"RODAS, ANTONIO JOSÉ",2019-12-20,2022-11-16,FRENTE DE TODOS,Peronist / Justicialist
"RODAS, ANTONIO JOSÉ",2022-11-16,2024-12-12,FRENTE NACIONAL Y POPULAR,Peronist / Justicialist
"RODRÍGUEZ MACHADO, LAURA ELENA",2016-03-30,2021-12-09,FRENTE PRO,Radical / Cambiemos / JxC
"RODRÍGUEZ SAÁ, ADOLFO",2005-12-21,2017-11-29,JUSTICIALISTA SAN LUIS,Peronist / Justicialist
"RODRÍGUEZ SAÁ, ADOLFO",2017-12-27,2022-11-16,FRENTE DE TODOS,Peronist / Justicialist
"RODRÍGUEZ SAÁ, ADOLFO",2022-11-16,2023-09-28,FRENTE NACIONAL Y POPULAR,Peronist / Justicialist
"RODRÍGUEZ, MATÍAS DAVID",2019-12-20,2022-05-12,FRENTE DE TODOS,Peronist / Justicialist
"RODRÍGUEZ, MATÍAS DAVID",2022-05-12,2023-09-28,UNIDAD CIUDADANA,Peronist / Justicialist
"ROJAS DECUT, SONIA ELIZABETH",2024-02-23,2024-12-12,ENCUENTRO MISIONERO,Provincial & other alliances
"ROJKES DE ALPEROVICH, BEATRIZ LILIANA",2010-04-14,2015-11-25,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"ROMERO, JUAN CARLOS",2007-12-12,2019-11-13,JUSTICIALISTA 8 DE OCTUBRE,Peronist / Justicialist
"ROMERO, JUAN CARLOS",2022-11-16,2024-12-12,CAMBIO FEDERAL,Provincial & other alliances
"ROSSI, CARLOS ALBERTO",2005-02-03,2009-12-02,VECINALISTA - PARTIDO NUEVO,Provincial & other alliances
"ROZAS, ÁNGEL",2013-12-18,2019-11-13,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"RUIZ DIAZ, ELSA B.",2011-12-21,2013-12-04,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"RÍOS, ROBERTO FABIÁN",2005-12-10,2009-12-02,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"SAADI, RAMÓN EDUARDO",2005-12-10,2009-12-02,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"SACNUN, MARÍA DE LOS ÁNGELES",2019-12-10,2021-12-09,FRENTE DE TODOS,Peronist / Justicialist
"SALAZAR, CARLOS EDUARDO",2007-11-07,2009-12-02,FUERZA REPUBLICANA,Provincial & other alliances
"SALINO, FERNANDO ALDO",2024-02-23,2024-12-12,JUSTICIA SOCIAL FEDERAL,Provincial & other alliances
"SALVATORI, PEDRO",2005-02-03,2007-12-05,MOVIMIENTO POPULAR NEUQUINO,Provincial & other alliances
"SANTILLI, DIEGO CESAR",2013-12-18,2015-11-25,PRO Y UNIÓN POR ENTRE RÍOS,Provincial & other alliances
"SANZ, ERNESTO RICARDO",2005-02-03,2015-11-25,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"SAPAG, LUZ MARÍA",2005-02-03,2007-12-05,MOVIMIENTO POPULAR NEUQUINO,Provincial & other alliances
"SAPAG, SILVIA ESTELA",2019-12-20,2022-05-12,FRENTE DE TODOS,Peronist / Justicialist
"SAPAG, SILVIA ESTELA",2022-05-12,2024-12-12,UNIDAD CIUDADANA,Peronist / Justicialist
"SCARPIN, DIONISIO FERNANDO",2021-12-29,2023-09-28,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"SCHIAVONI, HUMBERTO LUIS ARTURO",2017-12-27,2023-09-28,FRENTE PRO,Radical / Cambiemos / JxC
"SILVA, MÓNICA ESTHER",2024-02-23,2024-12-12,JUNTOS SOMOS RÍO NEGRO,Provincial & other alliances
"SNOPEK, GUILLERMO EUGENIO MARIO",2023-02-23,2023-09-28,UNIDAD FEDERAL,Provincial & other alliances
"SOLANAS, FERNANDO EZEQUIEL",2013-12-18,2019-11-13,PROYECTO SUR-UNEN,Provincial & other alliances
"SOLARI QUINTANA, MAGDALENA",2017-12-27,2023-09-28,MISIONES,Provincial & other alliances
"SOSA, MARIA NOEMI",2013-10-09,2013-12-04,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"SUÁREZ, RODOLFO ALEJANDRO",2024-02-23,2024-12-12,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"SÁNCHEZ, MARÍA DORA",2005-02-03,2009-12-02,CONCERTACIÓN PLURAL,Provincial & other alliances
"TAFFAREL, RICARDO CÉSAR",2005-02-03,2007-12-05,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"TAGLIAFERRI, GUADALUPE",2019-12-20,2024-12-12,FRENTE PRO,Radical / Cambiemos / JxC
"TAIANA, JORGE ENRIQUE",2019-12-20,2021-07-15,FRENTE DE TODOS,Peronist / Justicialist
"TAPIA, MARÍA BELÉN",2017-12-27,2023-09-28,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"TERENZI, EDITH ELIZABETH",2021-12-29,2024-12-12,DESPIERTA CHUBUT,Provincial & other alliances
"TERRAGNO, RODOLFO",2005-02-03,2007-12-05,RADICAL INDEPENDIENTE,Provincial & other alliances
"TORELLO, JOSÉ MARÍA",2022-03-17,2023-09-28,FRENTE PRO,Radical / Cambiemos / JxC
"TORRES, EDUARDO ENRIQUE",2007-12-12,2011-11-02,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"TORRES, IGNACIO AGUSTÍN",2022-11-16,2023-09-28,CAMBIO FEDERAL,Provincial & other alliances
"TROADELLO, MONICA",2007-12-12,2009-12-02,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"URQUÍA, ROBERTO DANIEL",2005-12-10,2009-12-02,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"URTUBEY, RODOLFO JULIO",2013-12-18,2019-11-13,JUSTICIALISTA,Peronist / Justicialist
"UÑAC, JOSÉ RUBÉN",2017-12-27,2022-11-16,FRENTE DE TODOS,Peronist / Justicialist
"UÑAC, JOSÉ RUBÉN",2022-11-16,2023-09-28,FRENTE NACIONAL Y POPULAR,Peronist / Justicialist
"UÑAC, SERGIO MAURICIO",2024-02-23,2024-12-12,JUSTICIALISTA,Peronist / Justicialist
"VALENZUELA, MERCEDES GABRIELA",2021-12-29,2024-12-12,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"VARELA, MARTA",2016-03-30,2019-11-13,FRENTE PRO,Radical / Cambiemos / JxC
"VEGA, MARÍA CLARA DEL VALLE",2019-12-20,2023-09-28,HAY FUTURO ARGENTINA,Provincial & other alliances
"VERA, ARTURO",2007-12-12,2013-12-04,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"VERANI, PABLO",2007-12-12,2013-09-12,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"VERASAY, PAMELA FERNANDA",2016-03-30,2021-12-09,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"VERNA, CARLOS ALBERTO",2010-04-14,2015-11-25,PARTIDO JUSTICIALISTA LA PAMPA,Peronist / Justicialist
"VIANA, LUIS ALBERTO",2005-12-21,2011-11-02,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"VIGO, ALEJANDRA MARÍA",2022-11-17,2024-12-12,PROVINCIAS UNIDAS,Provincial & other alliances
"VIGO, ÉLIDA MARÍA",2005-12-21,2011-11-02,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"VISCHI, EDUARDO ALEJANDRO",2021-12-29,2024-12-12,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"VIUDES, ISABEL JOSEFA",2006-03-15,2009-12-02,PJ FRENTE PARA LA VICTORIA,Peronist / Justicialist
"VUCASOVICH, MARIA ALEJANDRA",2021-07-15,2021-12-09,SANTA FE FEDERAL,Provincial & other alliances
"WERETILNECK, ALBERTO EDGARDO",2019-12-20,2023-09-28,JUNTOS SOMOS RÍO NEGRO,Provincial & other alliances
"YEDLIN, PABLO RAÚL",2021-12-29,2022-11-16,FRENTE DE TODOS,Peronist / Justicialist
"YEDLIN, PABLO RAÚL",2022-11-16,2023-09-28,FRENTE NACIONAL Y POPULAR,Peronist / Justicialist
"ZAVALÍA, JOSÉ LUIS",2005-02-03,2007-12-05,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
"ZIMMERMANN, VICTOR",2019-12-20,2024-12-12,UCR - UNIÓN CÍVICA RADICAL,Radical / Cambiemos / JxC
