case,session,pdf,page,parser_speaker,blind_read_label,agree,words_found,label_distance,furniture_in_paragraph,confidence,opening_words,reader_notes
84,2006-12-13_r31,2006-12-13_r31_ORDINARIA.pdf,71,Sr. Presidente,Sr. Presidente. —,yes,yes,same-paragraph,none,high,"Por favor, respetemos al orador que está cerrando el debate.","Clear single occurrence on page 71, immediately after an interjection by Sra. Colombo and a ""Murmullos en el recinto"" stage note."
85,2007-03-14_r02,2007-03-14_r02_ORDINARIA.pdf,23,Sr. Capitanich,Sr. Capitanich. —,yes,yes,same-paragraph,none,high,En nuestra provincia del Chaco hemos llegado a tener 712.000 hectáreas desiembra de algodón,"A stenographer note (""— Ocupa la Presidencia la señora vicepresidenta..."") sits just before the label but is not itself a label; the quoted words open the Capitanich paragraph directly."
86,2007-03-28_r03,2007-03-28_r03_ORDINARIA.pdf,18,Sr. Capitanich,Sr. Capitanich. —,yes,yes,same-paragraph,none,high,¿Entonces no se excluye el Orden del Día N° 1.162?,"Clean match, label opens the paragraph containing the quoted question."
87,2007-05-02_r06,2007-05-02_r06_ORDINARIA.pdf,10,Sr. Presidente,Sr. Presidente. —,yes,yes,same-paragraph,none,high,"Las cuestiones de privilegio pasan a la Comisión de AsuntosConstitucionales, como habíamos hecho referencia.",Quoted sentence is the full turn of the presiding officer on page 10.
88,2007-07-04_r10,2007-07-04_r10_ORDINARIA.pdf,28,Sra. Presidenta (Curletti),Sra. Presidenta (Curletti). —,yes,yes,same-paragraph,none,high,Tiene la palabra la señora senadora Giustiniani.,Clean match near top of page 28.
89,2007-08-22_r12,2007-08-22_r12_ORDINARIA.pdf,36,Sr. Presidente,Sr. Presidente.,yes,yes,same-paragraph,none,high,Corresponde considerar el dictamen de la Comisión de Presupuesto yHacienda en el proyecto de,"Label and quoted words open a new item under the section heading ""16. Orden para la colocación de bonos de consolidación...""; the heading itself sits on the line above the label, not inside the paragraph."
90,2007-08-22_r12,2007-08-22_r12_ORDINARIA.pdf,49,Sr. Presidente,Sr. Presidente. —,yes,yes,same-paragraph,"footnote marker ""17"" (referencing ""Ver el Apéndice"") sits between ""Aprobado."" and the following sentence ""Si no se hace uso de la palabra...""",high,"Aprobado.Si no se hace uso de la palabra, se va a votar en general","The quoted words splice together the end of the labeled turn (""Aprobado."") with the start of the next, unlabeled continuation paragraph of the same speaker's turn; a footnote number is printed in between."
91,2007-11-07_r13,2007-11-07_r13_ORDINARIA.pdf,10,Sr. Presidente,Sr. Presidente. —,yes,yes,same-paragraph,none,high,Tiene la palabra la señora senadora Quintela.,"First line of page 10, clean match."
92,2007-11-21_r15,2007-11-21_r15_ORDINARIA.pdf,21,Sra. Escudero,Sra. Escudero. —,yes,yes,same-paragraph,none,high,"Artículo 5E: Considéranse Servicios Ambientales a los beneficios tangiblese intangibles, generados por los ecosistemas","Clean match; preceding line ""Tiene la palabra la señora senadora Escudero."" is part of the presiding officer's prior turn, not a label for this paragraph."
93,2007-11-21_r15,2007-11-21_r15_ORDINARIA.pdf,32,Sr. Sanz,Sr. Sanz. —,yes,yes,same-paragraph,none,high,"Disculpe, secretario, pero con la simple lectura no vamos a llegar a una buenasolución.Le","Clean match, top-of-item paragraph on page 32."
94,2007-11-28_r17,2007-11-28_r17_ESPECIAL.pdf,7,Sr. Pichetto,Sr. Pichetto.—,yes,yes,same-paragraph,none,high,"Señor presidente: es para proponer la elección de las autoridades de la Cámara.Indudablemente, se","This is the second of two ""Sr. Pichetto.—"" turns on page 7; the quoted words open the second one, which is the one that matters here."
95,2007-11-28_r18,2007-11-28_r18_ORDINARIA.pdf,10,Sr. Presidente (Pampuro),Sr. Presidente (Pampuro). —,yes,yes,same-paragraph,none,high,"Por favor, no dialoguen. Tiene la palabra el señor senador Morales.","Clean match, single short paragraph on page 10."
96,2007-12-19_r21,2007-12-19_r21_ORDINARIA.pdf,23,Sr. Presidente,Sr. Presidente. —,yes,yes,same-paragraph,none,high,"El senador Pichetto le solicita una interrupción, senador, ¿se la concede?","Clean match, single short paragraph on page 23."
97,2008-03-01_r00,2008-03-01_r00_ASAMBLEA.pdf,15,Sra. Presidenta de la Nación,Sra. Presidenta de la Nación. —,yes,yes,earlier-page,none,high,Es por ellos que todos los universitariosdebemos hacer el gran esfuerzo de entender la,"Same continuous speech runs from page 6 through page 15 with no intervening label; words appear run together on the page (""universitariosdebemos"") as noted."
98,2008-03-26_r03,2008-03-26_r03_ORDINARIA.pdf,69,Sr. Presidente,Sr. Presidente. —,yes,yes,same-paragraph,none,high,Se va a votar si se trata en primer lugar el proyecto sobre Seguridad,Quoted words open the paragraph directly after the label on page 69.
99,2008-03-26_r03,2008-03-26_r03_ORDINARIA.pdf,71,Sr. Presidente,Sr. Presidente. —,yes,yes,same-paragraph,none,high,Tiene la palabra el señor senador Pichetto.,"""Tiene la palabra el señor senador Pichetto."" is the president's line calling on Pichetto, on page 71; Pichetto's own turn follows immediately after."
100,2008-04-16_r05,2008-04-16_r05_ORDINARIA.pdf,27,Sr. Presidente,Sr. Presidente. —,yes,yes,same-paragraph,none,high,Tiene la palabra el señor senador Sanz.,"Quoted words form the president's full turn on page 27, calling on senator Sanz."
101,2008-07-16_r11,2008-07-16_r11_ORDINARIA.pdf,83,Sr. Torres,Sr. Torres. —,yes,yes,same-paragraph,none,high,"Para contestar esta pregunta creo, señor presidente, que tenemos queubicarnos en el momento histórico",none
102,2008-09-03_r14,2008-09-03_r14_ORDINARIA.pdf,124,Sr. Ríos,Sr. Ríos. —,yes,yes,same-paragraph,none,high,Señor presidente: le confieso que no le concedí la interrupción a lasenadora Negre de,none
103,2008-09-10_r15,2008-09-10_r15_ORDINARIA.pdf,39,Sr. Presidente,Sr. Presidente. —,yes,yes,same-paragraph,none,high,"Sí, pero igual no va a poder votar si no está presente.Se va votar.",none
104,2008-10-22_r18,2008-10-22_r18_ORDINARIA.pdf,40,Sr. Giustiniani,Sr. Giustiniani. —,yes,yes,same-paragraph,none,high,"He pedido la palabra al solo efecto de adelantar el voto afirmativo delbloque socialista,",none
105,2008-11-05_r19,2008-11-05_r19_ORDINARIA.pdf,15,Sr. Pichetto,Sr. Pichetto. —,yes,yes,same-paragraph,none,high,Así es.,"Short two-word turn (""Así es."") answering the president's question about agreement on a preference motion; appears only once on the page."
106,2008-11-26_r21,2008-11-26_r21_ORDINARIA.pdf,23,Sr. Presidente,Sr. Presidente. —,yes,yes,same-paragraph,none,high,"Señor senador Cabanchik: la señora senadora Giri le solicita unainterrupción, ¿se la concede?",none
107,2008-12-17_r23,2008-12-17_r23_ORDINARIA.pdf,30,Sr. Morales,Sr. Morales. —,yes,yes,same-paragraph,none,high,Los estados contables y los papeles de trabajo que sostienen los datos que sevuelcan,"Immediately preceded on the same page by ""Sr. Presidente (Pampuro). — Continúa en el uso de la palabra el senador Morales."", which hands the floor to Morales but does not itself govern the quoted words."
108,2008-12-17_r23,2008-12-17_r23_ORDINARIA.pdf,71,Sr. Presidente (Marino),Sr. Presidente (Marino). —,yes,yes,same-paragraph,none,high,Se va a votar el pedido de abstención solicitado por el senadorLores.,none
109,2009-03-26_r03,2009-03-26_r03_ORDINARIA.pdf,117,Sra. Fellner,Sra. Fellner.–,yes,yes,same-paragraph,none,high,"No, no le doy la palabra. ¡Déjeme terminar, por favor! Después, yo la escucho","Quote continues past given excerpt (""...a usted en todo lo que tenga para decir..."") but content matches."
110,2009-07-08_r06,2009-07-08_r06_ORDINARIA.pdf,27,Sr. Presidente,Sr. Presidente. —,yes,yes,same-paragraph,none,high,Por Secretaría se informará sobre el siguiente dictamen para considerar.,"Matches exactly under section heading ""12. Convenio de seguridad social con Chile""."
111,2009-08-05_r07,2009-08-05_r07_ORDINARIA.pdf,16,Sr. Presidente,Sr. Presidente. —,yes,yes,same-paragraph,none,high,Queda aprobada la designación del juez Márquez.,"Exact match, immediately followed by section heading ""7. Asuntos entrados (continuación)""."
112,2009-08-05_r07,2009-08-05_r07_ORDINARIA.pdf,69,Sr. Presidente,Sr. Presidente. —,yes,yes,same-paragraph,none,high,Aprobado.,"""Aprobado."" appears twice on page 69 (once with footnote marker 9, once without); both are governed by the same label ""Sr. Presidente."", so the ambiguity does not affect the attribution."
113,2009-09-09_r10,2009-09-09_r10_ORDINARIA.pdf,5,Sr. Presidente,Sr. Presidente.—,yes,yes,same-paragraph,none,high,"Corresponde considerar seguidamente la solicitud presentada por el señorsenador Norberto Massoni, quien ha pedido","Immediately preceded by section heading ""7. Licencia del senador Massoni""; heading is not inside the paragraph itself."
114,2009-09-09_r11,2009-09-09_r11_INFORMATIVA_ESPECIAL.pdf,45,Sr. Presidente (Marín),Sr. Presidente (Marín). —,yes,yes,same-paragraph,none,high,Tiene la palabra el señor jefe de Gabinete de Ministros.,Exact match at top of page 45.
115,2009-10-09_r13,2009-10-09_r13_ESPECIAL.pdf,197,Sr. Secretario (Estrada),Sr. Secretario (Estrada). —,yes,yes,same-paragraph,none,high,Se registran 44 votos afirmativos y 23 votos negativos.—,"A footnote marker ""35"" appears at the end of the following italicized apéndice-reference line, not within the quoted paragraph itself."
116,2009-10-21_r14,2009-10-21_r14_ORDINARIA.pdf,25,Sr. Presidente,Sr. Presidente. –,yes,yes,same-paragraph,none,high,Tiene la palabra la señora senadora Gallego.,"Immediately preceded by section heading ""11. Plan de labor (continuación)""; heading is not inside the paragraph itself."
117,2009-10-21_r14,2009-10-21_r14_ORDINARIA.pdf,52,Sr. Martínez (J.C.),Sr. Martínez (J.C.). —,yes,yes,earlier-page,none,high,produzcan tecnología de punta. No sólo va a permitir que se pueda avanzar enalgunos,"Page 52 (and page 51) carry no speaker label; the quoted words continue Sr. Martínez's uninterrupted speech begun with the label on page 50. A stenographer note on page 50 (""— Ocupa la Presidencia el señor presidente provisional... Pampuro."") intervenes between the label and the quote but does not end the turn (his label repeats unchanged right after it)."
118,2009-11-25_r18,2009-11-25_r18_ORDINARIA.pdf,72,Sra. Escudero,Sra. Escudero. -,yes,yes,same-paragraph,none,high,"Sí, la extensión de los beneficios.",None.
119,2009-11-25_r18,2009-11-25_r18_ORDINARIA.pdf,102,Sr. Marín,Sr. Marín. —,yes,yes,same-paragraph,none,high,"Señor presidente: compartiendo lo exteriorizado por los señores senadores,hay dos aspectos a puntualizar, uno",None.
120,2009-12-02_r20,2009-12-02_r20_ORDINARIA.pdf,120,Sr. Presidente,Sr. Presidente.—,yes,yes,same-paragraph,none,high,Tiene la palabra la señora senadora Quintela.,None.
121,2010-05-05_r08,2010-05-05_r08_ORDINARIA.pdf,5,Sr. Presidente,Sr. Presidente. –,yes,yes,same-paragraph,none,high,Queda aprobado el retiro del mensaje.,"Clean scan; label and quoted words are in the same short sentence, no ambiguity."
122,2010-05-19_r09,2010-05-19_r09_ORDINARIA.pdf,56,Sra. Escudero,Sra. Escudero. –,yes,yes,same-paragraph,none,high,"Creo que hay que votar todo lo anterior, porque este es uno de los",Clean scan; unambiguous single occurrence on page 56.
123,2010-06-30_r13,2010-06-30_r13_ORDINARIA.pdf,17,Sr. Presidente,Sr. Presidente. –,yes,yes,same-paragraph,none,high,Tiene la palabra el señor senador Calcagno y Maillmann.,Clean scan; unambiguous single occurrence on page 17.
124,2010-07-14_r14,2010-07-14_r14_ORDINARIA.pdf,119,Sr. Pérez Alsina,Sr. Pérez Alsina. –,yes,yes,same-paragraph,none,high,Señor presidente: quiero comenzar a exponer mis fundamentos –no pensaba hacerlo así– haciendo referencia,"Clean scan; page 118 is a continuation of a different senator's speech (Pérez Alsina's own remarks begin only on page 119), page 119 opens with the ""Sr. Pérez Alsina."" label immediately followed by the quoted words."
125,2010-09-08_r17,2010-09-08_r17_ORDINARIA.pdf,10,Sr. Guinle,Sr. Guinle. –,yes,yes,same-paragraph,none,high,"Señor presidente: en este caso, como bien decía el señor senador Martínez, se reproduce",Clean scan; unambiguous single occurrence on page 10.
126,2010-09-29_r18,2010-09-29_r18_ORDINARIA.pdf,87,Sr. Pichetto,Sr. Pichetto. –,yes,yes,same-paragraph,none,high,"Sí, porque era lento. Como decía, Prellezo fue condenado a reclusión perpetua. Acaba de","Quote spans the end of one sentence and the start of the next paragraph, both part of the same uninterrupted Pichetto turn; the ""Sí, porque era lento."" clause immediately follows the label."
127,2010-10-20_r20,2010-10-20_r20_ORDINARIA.pdf,51,Sr. Presidente (Romero),Sr. Presidente (Romero). –,yes,yes,same-paragraph,none,high,"Si no se hace uso de la palabra, se va a votar.",Clean scan; unambiguous single occurrence on page 51.
128,2010-11-03_r21,2010-11-03_r21_ORDINARIA.pdf,17,Sr. Presidente (Pampuro),Sr. Presidente (Pampuro). –,yes,yes,same-paragraph,none,high,Tiene la palabra la señora senadora Bongiorno.,Clean scan; unambiguous single occurrence on page 17.
129,2010-11-03_r21,2010-11-03_r21_ORDINARIA.pdf,42,Sr. Martínez (A.A.),Sr. Martínez (A.A.). –,yes,yes,same-paragraph,none,high,Señor presidente: queremos saber de qué tratan los dos proyectos que pidió la senadora,Clean scan; unambiguous single occurrence on page 42.
130,2010-11-03_r21,2010-11-03_r21_ORDINARIA.pdf,56,Sr. Presidente (Romero),Sr. Presidente (Romero). –,yes,yes,same-paragraph,none,high,Tiene la palabra la señora senadora Negre de Alonso.,Clean scan; unambiguous single occurrence on page 56.
131,2010-12-15_r24,2010-12-15_r24_EXTRAORDINARIA.pdf,66,Sr. Presidente,Sr. Presidente. –,yes,yes,same-paragraph,none,high,Tiene la palabra la señora senadora Escudero.,"The exact phrase ""Tiene la palabra la señora senadora Escudero."" appears twice on page 66 (once before Pichetto's ""Está cerrado el debate."", once before Escudero's abstention request); both instances are governed by an identical ""Sr. Presidente."" label in the same paragraph, so the answer is the same either way."
132,2010-12-15_r24,2010-12-15_r24_EXTRAORDINARIA.pdf,66,Sr. Presidente,Sr. Presidente. –,yes,yes,same-paragraph,none,high,Tiene la palabra la señora senadora Escudero.,"Duplicate of case 131 (same sitting, same page, same quote). The phrase appears twice on page 66; both occurrences are governed by an identical ""Sr. Presidente."" label in the same paragraph."
133,2011-03-30_r03,2011-03-30_r03_ORDINARIA.pdf,28,Sr. Presidente,Sr. Presidente. –,yes,yes,same-paragraph,none,high,"Si hay acuerdo, lo dejamos reservado en mesa. –","Quote is the entirety of a short Presidente turn under item 9 (libro ""Mendocinas crónicas""); label immediately precedes it on the same line."
134,2011-04-13_r04,2011-04-13_r04_ORDINARIA.pdf,11,Sr. Presidente,Sr. Presidente. –,yes,yes,same-paragraph,none,high,¿Hay acuerdo en que el día 3 de mayo sea tratado en comisiones?,"Clean match, label directly precedes the quoted question on the same line."
135,2011-05-04_r05,2011-05-04_r05_ORDINARIA.pdf,48,Sr. Presidente,Sr. Presidente. –,yes,yes,same-paragraph,"footnote reference marker ""1"" (tied to ""Ver el Apéndice."" at page bottom) is attached directly at the end of the quoted sentence",high,Queda definitivamente sancionado el proyecto de ley. Se harán las comunicaciones correspondientes.,"Quote ends the paragraph; a superscript ""1"" footnote call-out sits right after ""correspondientes."""
136,2011-05-11_r06,2011-05-11_r06_INFORMATIVA_ESPECIAL.pdf,35,Sr. Jefe de Gabinete de Ministros,Sr. Jefe de Gabinete de Ministros. –,yes,yes,earlier-page,none,high,había contado que es una pelea que se pierde; y hay que tratar de,"Quoted words open the supplied page 35 file, continuing an unbroken speech that began two pages earlier (""Sr. Jefe de Gabinete de Ministros. – La media hasta este momento..."" on the page-31 file) and continues uninterrupted through the intervening page (no new label on either page) until ""Sr. Presidente. – Tiene la palabra la senadora Negre de Alonso."" appears later on the same page as the quote, well after it."
137,2011-06-01_r07,2011-06-01_r07_ORDINARIA.pdf,36,Sr. Verna,Sr. Verna. –,yes,yes,same-paragraph,none,high,"Sí, cómo no. Le concedo una interrupción de la interrupción para ver si me","Label directly precedes the quote, answering senator Sanz's request for an interruption."
138,2011-06-29_r08,2011-06-29_r08_ORDINARIA.pdf,29,Sr. Fuentes,Sr. Fuentes. –,yes,yes,same-paragraph,none,high,Yo estaba anotado…,First line of the supplied page; label immediately precedes the quote.
139,2011-06-29_r08,2011-06-29_r08_ORDINARIA.pdf,68,Sr. Presidente,Sr. Presidente. –,yes,yes,same-paragraph,none,high,Tiene la palabra el senador Pichetto.,"Occurs under item 18 heading ""TRATAMIENTO EN CONJUNTO...""; label directly precedes the quote on the same line."
140,2011-07-27_r09,2011-07-27_r09_ORDINARIA.pdf,12,Sr. Morandini,Sra. Morandini. –,yes,yes,same-paragraph,none,high,Señor presidente: quiero también sumarme a este homenaje. Y no puedo dejar de advertir,Label immediately precedes the quote at the top of the page.
141,2011-11-02_r12,2011-11-02_r12_ORDINARIA.pdf,20,Sr. Presidente (Marino),Sr. Presidente (Marino). –,yes,yes,same-paragraph,none,high,Tiene la palabra el señor senador Lores.,"Only one occurrence of ""Tiene la palabra el señor senador Lores."" on the page; label directly precedes it."
142,2011-11-02_r12,2011-11-02_r12_ORDINARIA.pdf,61,Sr. Sanz,Sr. Sanz. –,yes,yes,same-paragraph,none,high,"Señor presidente: quiero dejar zanjado algo que quedó en la versión taquigráfica, planteado por","Label directly precedes the quote, given after Presidente (Basualdo) granted Sanz the floor for an interruption; the dash in the printed label is a slightly different glyph but the pattern is identical to other labels."
143,2011-12-21_r16,2011-12-21_r16_EXTRAORDINARIA.pdf,13,Sr. Presidente,Sr. Presidente. –,yes,yes,same-paragraph,none,high,"Queda aprobada y cerrada la lista de oradores. A continuación, ponemos en consideración la","Label directly precedes the quote; note an unrelated printed typo ""Sr. Presente."" appears a few lines above the quote (evidently a stray transcription slip in the original, not affecting this case)."
144,2011-12-22_r17,2011-12-22_r17_EXTRAORDINARIA.pdf,74,Sr. Martínez,Sr. Martínez. –,yes,yes,same-paragraph,none,high,"Gracias, señora presidenta. Hemos acompañado el dictamen y lo hemos hecho con la absoluta","Label immediately precedes the quote at the top of the page, following the presiding senator's grant of the floor to Martínez."
145,2012-03-01_r00,2012-03-01_r00_ASAMBLEA.pdf,26,Sra. Presidenta de la Nación,Sra. Presidenta de la Nación.,yes,yes,earlier-page,none,high,"En materia de obras, de 2003 a 2011 hubo 104 coches nuevos ya incorporados","Continuous speech by the President of the Nation begun on page 6 (label ""Sra. Presidenta de la Nación. — Muchas gracias..."") runs uninterrupted through pages 25 and 26 with no intervening label; the quoted words fall inside that same unbroken speech on page 26."
146,2012-03-21_r03,2012-03-21_r03_ORDINARIA.pdf,19,Sr. Giustiniani,Sr. Giustiniani.,yes,yes,same-paragraph,none,high,"Sí, cómo no.","""Sr. Giustiniani. – Sí, cómo no."" is a one-line turn on page 19, directly following a Presidencia line granting Pichetto an interruption."
147,2012-03-21_r03,2012-03-21_r03_ORDINARIA.pdf,36,Sra. Presidenta (Rojkés de Alperovich),Sra. Presidenta (Rojkés de Alperovich).,yes,yes,same-paragraph,none,high,Tiene la palabra el senador Juez.,"""Sra. Presidenta (Rojkés de Alperovich). — Tiene la palabra el senador Juez."" on page 36."
148,2012-04-25_r04,2012-04-25_r04_ESPECIAL.pdf,62,Sra. Presidenta (Rojkés de Alperovich),Sra. Presidenta (Rojkés de Alperovich).,yes,yes,same-paragraph,none,high,Tiene la palabra el señor senador Bermejo.,"""Sra. Presidenta (Rojkés de Alperovich). – Tiene la palabra el señor senador Bermejo."" on page 62."
149,2012-05-09_r05,2012-05-09_r05_ORDINARIA.pdf,103,Sr. Presidente,Sr. Presidente.,yes,yes,same-paragraph,none,high,Aprobado.,"""Sr. Presidente. – Aprobado."" on page 103, following the electronic vote. Page 102 has a similar but distinct line ""Aprobadas."" (plural) from the same speaker label about a different item; the singular ""Aprobado."" quoted matches page 103 exactly."
150,2012-05-30_r08,2012-05-30_r08_INFORMATIVA_ESPECIAL.pdf,13,Sr. Cano,Sr. Cano.,yes,yes,same-paragraph,none,high,"Señor presidente: en primer lugar, es real lo que planteó el jefe de Gabinete","""Sr. Cano. – Señor presidente: en primer lugar, es real lo que planteó el jefe de Gabinete con respecto al número de preguntas."" at bottom of page 13."
151,2012-08-15_r12,2012-08-15_r12_ORDINARIA.pdf,20,Sra. Montero,Sra. Montero.,yes,yes,same-paragraph,none,high,"Simplemente, quiero hacer un comentario, porque soy autora de un proyecto y el tema","""Sra. Montero. – Simplemente, quiero hacer un comentario, porque soy autora de un proyecto y el tema me interesa."" on page 20."
152,2012-09-12_r15,2012-09-12_r15_ORDINARIA.pdf,86,Sr. Morales,Sr. Morales.-,yes,yes,same-paragraph,none,high,"Hay muchas cuestiones que ha planteado el señor senador Filmus que, en lo personal,","On page 86: ""Sr. Presidente.- Continúa en el uso de la palabra el señor senador Morales."" followed immediately by ""Sr. Morales.- Hay muchas cuestiones que ha planteado el señor senador Filmus que, en lo personal, comparto...""; the quoted words belong to the Morales turn, not the preceding Presidente line."
153,2012-11-28_r21,2012-11-28_r21_ORDINARIA.pdf,12,Sr. Guinle,Sr. Guinle.-,yes,yes,same-paragraph,none,high,"Señor presidente: este dictamen, que en realidad es la promoción del vicealmirante D. Daniel","""Sr. Guinle.- Señor presidente: este dictamen, que en realidad es la promoción del vicealmirante D. Daniel Alberto Enrique Martín..."" on page 12. Page 11 supplied is a table-of-contents/Apéndice listing page, not speech text, and is irrelevant to this turn."
154,2012-11-28_r21,2012-11-28_r21_ORDINARIA.pdf,30,Sr. Morales,Sr. Morales.-,yes,yes,same-paragraph,none,high,"Señor presidente: pido que se incorpore en el plan de labor, como adelanté en","""Sr. Morales.- Señor presidente: pido que se incorpore en el plan de labor, como adelanté en la reunión de labor parlamentaria..."" on page 30."
155,2012-11-28_r21,2012-11-28_r21_ORDINARIA.pdf,94,Sr. Presidente,Sr. Presidente.-,yes,yes,same-paragraph,none,high,"Un segundo, secretario.","""Sr. Presidente.- Un segundo, secretario."" on page 94, interrupting the secretary mid-reading."
156,2012-11-29_r22,2012-11-29_r22_ORDINARIA.pdf,64,Sr. Presidente,Sr. Presidente.-,yes,yes,same-paragraph,none,high,Tiene la palabra el señor senador Petcoff Naidenoff.,"""Sr. Presidente.- Tiene la palabra el señor senador Petcoff Naidenoff."" on page 64."
157,2013-02-21_r24,2013-02-21_r24_EXTRAORDINARIA.pdf,64,Sr. Fernández,Sr. Fernández.-,yes,yes,same-paragraph,none,high,"Solicito una interrupción, señora presidenta.","Clean scan, quote appears once on page 64, label directly precedes it."
158,2013-03-01_r00,2013-03-01_r00_ASAMBLEA.pdf,9,Sra. Presidenta de la Nación,Sra. Presidenta de la Nación. –,yes,yes,earlier-page,none,high,¡Y no se la prestamos a ningún amigo ni a ningún empresario amigo! Se,"This is a single long speech by the president of the Nation beginning on page 6; no other speaker label appears through pages 7, 8, 9. Quote is the last line on page 9, cut off mid-sentence (""...Se"") and continuing onto the next page (not supplied), but matches the given words exactly up to that point."
159,2013-03-01_r00,2013-03-01_r00_ASAMBLEA.pdf,18,Sra. Presidenta de la Nación,Sra. Presidenta de la Nación. –,yes,yes,earlier-page,none,high,Ciencia y Tecnología no estaba creada…,"Same continuous presidential address as case 158; no intervening speaker label appears on pages 6, 17, or 18."
160,2013-04-17_r04,2013-04-17_r04_ESPECIAL.pdf,74,Sr. Cimadevilla,Sr. Cimadevilla.-,yes,yes,same-paragraph,none,high,"Una sola cosa, señor presidente, porque es grave. Estamos frente a proyectos de ley",Clean scan; label directly precedes quoted words on page 74.
161,2013-04-17_r04,2013-04-17_r04_ESPECIAL.pdf,146,Sr. Presidente,Sr. Presidente.-,yes,yes,same-paragraph,none,high,Por favor.,"""Por favor."" appears exactly once as a standalone turn on page 146, immediately after ""Sr. Guastavino.- Leo el último párrafo.""; no ambiguity."
162,2013-05-22_r08,2013-05-22_r08_ORDINARIA.pdf,133,Sr. Pichetto,Sr. Pichetto.-,yes,yes,same-paragraph,none,high,Yo lo escuché y no le pedí ninguna. Lo que quiero decir respecto del,Clean scan; label directly precedes quoted words on page 133.
163,2013-06-05_r10,2013-06-05_r10_INFORMATIVA_ESPECIAL.pdf,64,Sr. Presidente,Sr. Presidente.-,yes,yes,same-paragraph,none,high,"Una última intervención, para terminar el tema, senadora.",Clean scan; label directly precedes quoted words at bottom of page 64.
164,2013-06-26_r11,2013-06-26_r11_ORDINARIA.pdf,12,Sr. Pichetto,Sr. Pichetto.-,yes,yes,same-paragraph,none,high,Quiero decir que estoy de acuerdo.,"A section heading ""PLAN DE LABOR (Continuación)"" appears above on the same page but not inside the quoted paragraph itself."
165,2013-07-03_r12,2013-07-03_r12_ORDINARIA.pdf,37,Sra. Parrilli,Sra. Parrilli.-,yes,yes,same-paragraph,none,high,"Señor presidente: quería dejar constancia de que esta ley, que fue promovida por nuestra",Clean scan; label directly precedes quoted words on page 37.
166,2013-09-04_r14,2013-09-04_r14_ORDINARIA.pdf,114,Sr. Presidente (Marino),Sr. Presidente (Marino).-,yes,yes,same-paragraph,none,high,Por qué no nos ordenamos. Todos los que se han leído hasta el momento,Clean scan; label directly precedes quoted words on page 114.
167,2013-09-12_r15,2013-09-12_r15_ORDINARIA.pdf,84,Sr. Rodríguez Saá,Sr. Rodríguez Saá.-,yes,yes,same-paragraph,none,high,Señor presidente: votemos los cuatro proyectos en general y en particular. No hay objeciones.,Clean scan; label directly precedes quoted words on page 84.
168,2013-11-13_r17,2013-11-13_r17_ORDINARIA.pdf,70,Sra. Presidenta (Rojkés de Alperovich),Sra. Presidenta (Rojkés de Alperovich).-,yes,yes,same-paragraph,none,high,"Tiene la palabra la señora senadora Escudero, a fin de clarificar un poquito el",Clean scan; label directly precedes quoted words on page 70.
169,2014-03-26_r04,2014-03-26_r04_ESPECIAL.pdf,87,Sr. Pérsico,Sr. Pérsico. –,yes,yes,earlier-same-page,none,high,"Gracias. El senador hablaba de la buena conducción de YPF. Yo quisiera agregar, anticipando","Quoted words open a new unlabeled paragraph immediately following ""Sr. Pérsico. – Gracias."" on page 87, itself preceded by Sr. Presidente granting the interruption and Sra. Di Perna consenting; the topic (YPF praise) matches Pérsico's continuing turn."
170,2014-04-30_r06,2014-04-30_r06_ORDINARIA.pdf,6,Sr. Presidente,Sr. Presidente. –,yes,yes,same-paragraph,none,high,Tiene la palabra el señor senador De Angeli.,"Exact match, single occurrence on page 6."
171,2014-04-30_r06,2014-04-30_r06_ORDINARIA.pdf,65,Sr. Presidente,Sr. Presidente. –,yes,yes,same-paragraph,none,high,"Tiene la palabra la senadora Leguizamón. Por favor, muy breve. Y aclaro: no es","Quote spans the labeled line (""Tiene la palabra la senadora Leguizamón. Por favor, muy breve."") plus the following unlabeled paragraph (""Y aclaro: no es..."") which is a continuation of the same Presidente turn."
172,2014-05-07_r07,2014-05-07_r07_INFORMATIVA_ESPECIAL.pdf,29,Sr. Jefe de Gabinete de Ministros,Sr. Jefe de Gabinete de Ministros. –,yes,yes,same-paragraph,none,high,"Y, por último, lo que quiero transmitir es básicamente el tema de la emergencia","Exact match, single occurrence on page 29."
173,2014-05-21_r08,2014-05-21_r08_ORDINARIA.pdf,61,Sr. Presidente,Sr. Presidente. –,yes,yes,same-paragraph,none,high,Senador Urtubey.,"Exact match, single occurrence on page 61."
174,2014-07-02_r10,2014-07-02_r10_ORDINARIA.pdf,34,Sr. Secretario (Estrada),Sr. Secretario (Estrada).-,yes,yes,same-paragraph,none,high,"En primer término, corresponde tratar el orden del día 214, dictamen de la Comisión","Exact match, single occurrence on page 34."
175,2014-09-17_r14,2014-09-17_r14_ORDINARIA.pdf,37,Sr. Mayans,Sr. Mayans.-,yes,yes,same-paragraph,none,high,No estoy de acuerdo.,"Exact match at top of page 37; phrase ""No estoy de acuerdo"" is short and generic but the printed instance is unambiguous."
